X,Y,CU,AU
40.00,71.00,0.762,0.0011
21.00,69.00,2.843,0.0078
28.00,80.00,6.068,0.1053
29.00,59.00,7.727,1.5127
41.00,81.00,2.695,0.0098
18.00,80.00,10.367,0.8604
39.00,60.00,2.386,0.0127
18.00,60.00,5.194,0.1771
41.00,90.00,4.149,0.0234
21.00,90.00,6.014,0.1731
31.00,101.00,5.792,0.2965
41.00,100.00,6.014,0.3006
21.00,100.00,5.946,0.2297
60.00,8.00,5.501,0.2583
40.00,11.00,0.994,0.0022
51.00,18.00,2.336,0.0142
59.00,20.00,0.144,0.0001
41.00,21.00,1.159,0.0031
59.00,90.00,5.062,0.1269
51.00,101.00,5.024,0.0738
50.00,81.00,6.08,0.2107
59.00,101.00,3.639,0.0304
60.00,81.00,3.856,0.0503
60.00,151.00,15.211,3.6918
38.00,148.00,3.409,0.05
50.00,160.00,8.791,0.4742
50.00,138.00,4.134,0.083
61.00,158.00,8.689,0.9838
39.00,160.00,6.574,0.2178
61.00,139.00,4.77,0.0715
38.00,140.00,2.685,0.0262
61.00,170.00,8.064,0.3011
39.00,170.00,9.144,1.5485
49.00,179.00,8.115,0.2349
58.00,179.00,11.136,2.1547
39.00,181.00,10.08,3.6374
60.00,191.00,15.281,1.9309
40.00,190.00,9.709,1.3911
51.00,198.00,11.09,1.6608
60.00,198.00,12.039,1.8137
40.00,200.00,6.413,0.2491
58.00,208.00,7.206,1.1601
38.00,209.00,6.653,0.5478
50.00,221.00,5.433,1.0666
61.00,220.00,1.011,0.0595
39.00,221.00,6.159,0.4209
59.00,268.00,5.431,1.7142
41.00,271.00,8.688,0.8287
49.00,278.00,5.83,1.7888
51.00,260.00,6.707,3.7389
59.00,281.00,1.488,0.675
39.00,279.00,7.98,1.1821
59.00,258.00,1.949,0.9833
38.00,260.00,6.352,0.7666
78.00,28.00,7.816,0.5654
60.00,29.00,2.386,0.0127
70.00,41.00,4.72,0.0849
70.00,21.00,0.581,0.0003
78.00,41.00,6.003,0.1246
61.00,41.00,0.649,0.0008
78.00,20.00,5.059,0.07
80.00,131.00,8.016,0.4211
58.00,128.00,1.588,0.0043
71.00,140.00,6.063,0.1751
79.00,138.00,7.301,1.6945
80.00,119.00,4.212,0.0351
61.00,121.00,1.048,0.0018
71.00,160.00,8.011,2.535
78.00,159.00,7.42,3.3715
80.00,168.00,6.891,0.6346
69.00,181.00,4.246,0.7626
79.00,181.00,1.843,0.2417
80.00,188.00,2.452,0.4311
70.00,198.00,6.3,1.9921
80.00,49.00,7.574,0.4738
90.00,58.00,7.398,0.2802
88.00,39.00,5.207,0.0768
101.00,38.00,7.305,0.464
101.00,68.00,3.831,0.0978
79.00,70.00,5.088,0.1039
90.00,79.00,5.733,0.1383
100.00,78.00,3.724,0.0709
81.00,81.00,5.858,0.1972
100.00,91.00,3.972,0.0389
80.00,89.00,6.145,0.1923
91.00,99.00,7.349,0.1596
101.00,100.00,5.993,0.5393
81.00,98.00,1.812,0.0013
98.00,111.00,7.448,1.987
81.00,108.00,10.223,0.643
90.00,120.00,8.993,1.2903
100.00,118.00,3.637,0.0205
98.00,130.00,5.132,0.2639
90.00,140.00,6.488,2.1475
90.00,138.00,6.454,1.9271
121.00,131.00,0.13,0.0002
111.00,140.00,1.903,0.0488
108.00,121.00,8.93,3.0709
120.00,141.00,1.047,0.0146
119.00,118.00,1.504,0.0169
158.00,228.00,5.584,0.5516
140.00,229.00,5.58,0.5139
150.00,241.00,3.185,0.1292
151.00,218.00,3.943,0.2392
161.00,241.00,1.419,0.0086
141.00,240.00,1.125,0.0046
160.00,218.00,5.804,1.1187
139.00,220.00,5.359,0.4457
178.00,211.00,3.982,0.5618
159.00,209.00,5.173,0.1488
169.00,221.00,4.272,0.1972
170.00,198.00,3.676,1.4298
180.00,218.00,3.747,0.0775
178.00,201.00,1.448,0.0813
158.00,198.00,1.698,0.1545
219.00,88.00,2.351,0.1369
198.00,90.00,6.117,0.7358
211.00,100.00,7.464,0.7106
208.00,80.00,4.366,0.4958
221.00,99.00,5.409,0.5868
199.00,98.00,8.01,1.419
220.00,81.00,2.721,0.1773
198.00,78.00,2.041,0.086
220.00,150.00,5.439,0.675
200.00,150.00,6.062,0.3811
208.00,159.00,3.56,0.2804
210.00,140.00,4.409,0.3303
221.00,160.00,3.018,0.3656
198.00,161.00,3.694,0.1545
219.00,139.00,1.668,0.0245
200.00,139.00,2.309,0.0422
239.00,8.00,2.403,0.0802
218.00,8.00,7.371,1.3734
229.00,19.00,5.186,0.1477
239.00,18.00,3.907,0.1867
218.00,18.00,7.974,1.4297
238.00,229.00,6.026,1.5109
218.00,228.00,4.308,0.2652
231.00,239.00,3.541,0.478
230.00,221.00,6.024,0.5389
240.00,239.00,1.726,0.0519
221.00,241.00,3.248,0.2909
239.00,220.00,4.201,0.3983
218.00,218.00,7.635,1.2367
35.00,71.00,6.878,0.4868
24.00,71.00,7.358,0.4639
34.00,88.00,0.869,0.0001
23.00,91.00,8.17,0.7088
54.00,10.00,6.379,0.3494
46.00,11.00,5.123,0.392
55.00,89.00,4.234,0.0212
45.00,89.00,5.696,0.0628
53.00,150.00,8.58,0.873
46.00,148.00,2.34,0.0075
55.00,168.00,8.76,0.2881
43.00,170.00,10.828,1.1749
55.00,191.00,13.926,1.0047
44.00,191.00,6.466,0.0768
55.00,211.00,8.895,0.9388
46.00,211.00,5.092,0.4297
54.00,269.00,6.131,2.9224
43.00,271.00,7.678,0.1981
73.00,29.00,6.494,0.2317
64.00,31.00,2.354,0.0108
75.00,129.00,7.828,0.6393
64.00,129.00,2.273,0.0086
73.00,149.00,7.229,0.6961
64.00,151.00,9.745,0.6641
75.00,171.00,5.122,0.1448
63.00,168.00,12.158,1.4461
73.00,188.00,6.871,2.3515
64.00,191.00,12.599,1.2576
93.00,48.00,6.875,0.3732
86.00,48.00,4.719,0.0318
93.00,70.00,5.121,0.1961
84.00,69.00,9.639,1.21
93.00,90.00,8.74,1.0313
86.00,89.00,5.824,0.117
96.00,111.00,5.532,0.3605
85.00,108.00,9.373,1.4955
93.00,131.00,8.836,1.3368
86.00,131.00,8.799,0.9653
114.00,131.00,2.684,0.1044
106.00,130.00,6.515,1.9577
155.00,229.00,3.864,0.0882
145.00,230.00,3.332,0.0635
174.00,208.00,3.392,0.335
166.00,211.00,6.003,0.6476
215.00,89.00,5.952,1.457
205.00,89.00,8.096,0.9558
215.00,148.00,2.933,0.0677
204.00,151.00,6.973,0.4445
236.00,9.00,5.159,1.5938
223.00,9.00,6.132,0.2776
236.00,229.00,6.653,1.962
226.00,230.00,8.136,2.2798
35.00,80.00,1.748,0.002
24.00,79.00,8.918,0.6357
36.00,61.00,6.996,1.5478
26.00,58.00,0.395,0.0003
16.00,80.00,9.156,0.6348
43.00,60.00,5.84,0.0974
15.00,88.00,6.1,0.3193
46.00,99.00,5.668,0.1002
54.00,80.00,4.83,0.105
46.00,81.00,5.426,0.1386
54.00,161.00,9.593,0.4667
43.00,161.00,6.319,0.2611
65.00,160.00,9.283,2.2525
33.00,160.00,4.31,0.0486
36.00,170.00,6.723,0.6055
53.00,179.00,10.034,0.4254
44.00,180.00,8.764,0.9378
65.00,181.00,7.341,0.5893
34.00,180.00,3.66,0.1102
33.00,191.00,2.965,0.0791
55.00,199.00,10.692,0.3764
46.00,198.00,8.043,0.6746
63.00,201.00,7.311,1.3633
34.00,201.00,3.181,0.0796
65.00,210.00,2.386,0.4883
35.00,208.00,4.289,0.1612
46.00,220.00,7.344,1.2361
36.00,219.00,4.291,0.1523
35.00,217.00,5.974,0.397
53.00,258.00,4.426,1.6964
46.00,260.00,7.652,0.7798
45.00,281.00,6.055,0.9348
35.00,278.00,7.959,1.5883
35.00,259.00,2.35,0.0189
84.00,30.00,5.62,0.0853
84.00,41.00,4.114,0.034
75.00,40.00,6.967,0.3562
73.00,141.00,7.909,0.6073
63.00,140.00,6.965,0.3578
84.00,138.00,6.873,0.8934
76.00,159.00,5.975,0.9973
84.00,161.00,4.374,0.3872
86.00,169.00,3.174,0.7617
73.00,199.00,4.707,5.1901
76.00,51.00,4.987,0.1018
94.00,61.00,7.787,1.354
85.00,60.00,5.233,0.1175
104.00,38.00,6.171,0.2002
93.00,41.00,3.955,0.0284
75.00,90.00,5.189,0.113
94.00,101.00,3.837,0.0129
85.00,100.00,7.041,0.126
104.00,109.00,5.623,0.9086
75.00,110.00,6.553,0.349
95.00,121.00,8.236,0.5484
83.00,119.00,8.477,0.7014
94.00,140.00,6.075,0.7232
103.00,139.00,4.912,0.5653
114.00,120.00,3.195,0.1542
104.00,118.00,5.94,0.2892
196.00,91.00,4.335,0.2541
215.00,101.00,2.096,0.004
204.00,101.00,5.338,0.1273
196.00,101.00,5.924,0.4194
195.00,149.00,4.787,0.1419
216.00,11.00,6.602,1.4248
225.00,19.00,8.322,0.5122
214.00,19.00,2.425,0.0156
245.00,231.00,1.612,0.0261
233.00,220.00,6.26,0.9597
226.00,221.00,8.001,1.6815
213.00,218.00,4.826,0.4762
